"CASEID","D104","D108","D111","V012","V024","V025","V131","V149","V136","V190","V155","S119"
"      000102201  2",0,0,0,22,1,1,10,5,3,5,2,10
"      000105201  2",0,0,0,44,1,1,10,5,5,4,2,10
"      000105201  3",NA,NA,NA,20,1,1,10,5,5,4,2,10
"      000105201  4",NA,NA,NA,15,1,1,10,3,5,4,2,10
"      000105301  1",1,0,0,34,1,1,10,3,4,3,2,10
"      000105301  2",NA,NA,NA,15,1,1,10,3,4,3,2,10
"      000108301  2",0,0,0,38,1,1,10,5,5,3,2,10
"      000108301  5",NA,NA,NA,22,1,1,10,5,5,3,2,10
"      000108501  2",1,0,1,33,1,1,10,5,5,5,2,10
"      000110301  2",0,0,0,26,1,1,10,5,3,2,2,10
"      000110701  2",0,0,0,35,1,1,10,5,4,5,2,10
"      000300601  1",NA,NA,NA,44,1,1,10,5,5,5,2,10
"      000300601  3",NA,NA,NA,24,1,1,10,5,5,5,2,10
"      000301201  2",0,0,0,31,1,1,10,5,4,3,2,10
"      000301201  3",NA,NA,NA,13,1,1,10,3,4,3,2,10
"      000302201  2",0,0,0,27,1,1,10,4,6,2,2,10
"      000306001  2",0,0,0,24,1,1,10,5,4,5,2,10
"      000307101  2",0,0,0,32,1,1,10,5,3,4,2,10
"      000307201  2",0,0,0,44,1,1,10,4,3,2,2,10
"      000308901  1",NA,NA,NA,20,1,1,10,5,1,2,2,10
"      000313801  2",0,0,0,31,1,1,10,5,5,2,2,10
"      000601501  2",0,0,1,33,1,1,10,5,4,4,2,10
"      000602501  2",0,0,0,33,1,1,10,5,4,2,2,10
"      000603801  1",NA,NA,NA,47,1,1,10,5,4,3,2,10
"      000611901  1",0,0,0,33,1,1,10,5,7,3,2,10
"      000611901  4",NA,NA,NA,21,1,1,10,4,7,3,2,10
"      000615801  1",NA,NA,NA,45,1,1,10,1,3,4,2,10
"      000615801  2",1,1,1,25,1,1,10,5,3,4,2,10
"      000617601  1",NA,NA,NA,43,1,1,10,3,9,2,2,10
"      000617601  4",1,0,0,22,1,1,10,4,9,2,2,10
"      000617601  6",NA,NA,NA,20,1,1,10,3,9,2,2,10
"      000701001  2",1,0,0,27,1,1,10,2,4,2,2,10
"      000701901  2",0,0,0,37,1,1,10,5,4,3,2,10
"      000704801  2",0,0,0,29,1,1,10,5,4,3,2,10
"      000705201  2",0,0,0,47,1,1,10,5,2,2,2,10
"      000705701  2",0,0,0,27,1,1,10,4,5,2,2,10
"      000707801  2",0,0,0,31,1,1,10,3,4,2,2,10
"      000708801  2",0,0,0,24,1,1,10,3,4,2,2,10
"      000804501  2",1,1,1,24,1,1,4,3,5,1,2,4
"      000804501  5",NA,NA,NA,20,1,1,9,0,5,1,0,9
"      000805601  3",0,0,0,25,1,1,10,4,6,1,2,10
"      000813201  2",1,0,0,39,1,1,10,5,5,2,2,10
"      000815001  2",1,0,0,28,1,1,4,5,4,1,2,4
"      000900601  3",NA,NA,NA,21,1,1,10,5,3,3,2,10
"      000904701  3",NA,NA,NA,27,1,1,10,5,4,1,2,10
"      000907101  2",0,0,0,32,1,1,10,3,8,2,2,10
"      000909301  2",0,1,0,47,1,1,10,3,3,2,2,10
"      000910301  1",1,0,0,31,1,1,10,4,6,2,2,10
"      000910301  3",NA,NA,NA,14,1,1,10,3,6,2,2,10
"      000910301  4",NA,NA,NA,13,1,1,10,3,6,2,2,10
"      000911101  2",0,0,0,36,1,1,10,5,5,2,2,10
"      000912201  2",1,0,0,27,1,1,10,4,4,2,2,10
"      001000901  1",0,0,0,34,1,1,10,5,3,2,2,10
"      001003401  2",0,0,0,28,1,1,10,3,5,2,2,10
"      001003401  3",NA,NA,NA,12,1,1,10,2,5,2,2,10
"      001005201  2",NA,NA,NA,35,1,1,10,4,5,2,2,10
"      001005201  5",NA,NA,NA,16,1,1,10,3,5,2,2,10
"      001006301  2",0,0,0,17,1,1,10,4,3,2,2,10
"      001006601  3",0,0,0,38,1,1,10,5,4,2,2,10
"      001007001  1",0,0,0,45,1,1,10,5,2,3,2,10
